bmi_percentile,physical_activity_days_code,computer_use_code,sleep_code,sex_code,age_code,survey_weight,physical_activity_days,computer_use_hours,sleep_hours,female,sex_label,age_years_approx
71.04906399,5.0,5.0,2.0,2.0,6.0,0.6105,4.0,3.0,5.0,1.0,Female,17.0
43.14984367,3.0,5.0,4.0,1.0,6.0,0.2734,2.0,3.0,7.0,0.0,Male,17.0
75.73919519,1.0,7.0,5.0,1.0,3.0,0.4032,0.0,5.0,8.0,0.0,Male,14.0
56.95841633,3.0,2.0,7.0,1.0,4.0,0.4032,2.0,0.5,10.0,0.0,Male,15.0
89.0685033,1.0,1.0,4.0,1.0,3.0,0.4032,0.0,0.0,7.0,0.0,Male,14.0
56.12875598,3.0,4.0,5.0,1.0,5.0,0.4168,2.0,2.0,8.0,0.0,Male,16.0
69.82409651,3.0,5.0,4.0,2.0,5.0,0.4294,2.0,3.0,7.0,1.0,Female,16.0
97.02213328,5.0,6.0,2.0,2.0,5.0,0.4294,4.0,4.0,5.0,1.0,Female,16.0
89.45507565,5.0,7.0,7.0,1.0,4.0,0.4168,4.0,5.0,10.0,0.0,Male,15.0
30.14155853,1.0,2.0,5.0,2.0,4.0,0.4294,0.0,0.5,8.0,1.0,Female,15.0
83.32303085,1.0,2.0,5.0,1.0,5.0,0.4168,0.0,0.5,8.0,0.0,Male,16.0
44.3547711,1.0,1.0,6.0,1.0,6.0,0.4168,0.0,0.0,9.0,0.0,Male,17.0
36.09086758,3.0,5.0,5.0,2.0,3.0,0.9658,2.0,3.0,8.0,1.0,Female,14.0
32.79325237,5.0,7.0,5.0,1.0,4.0,0.4032,4.0,5.0,8.0,0.0,Male,15.0
89.46125467,1.0,1.0,4.0,1.0,5.0,0.4032,0.0,0.0,7.0,0.0,Male,16.0
55.06915825,6.0,4.0,3.0,2.0,4.0,0.9658,5.0,2.0,6.0,1.0,Female,15.0
12.7812687,6.0,4.0,2.0,2.0,4.0,0.9658,5.0,2.0,5.0,1.0,Female,15.0
97.56644906,7.0,5.0,4.0,2.0,4.0,0.9658,6.0,3.0,7.0,1.0,Female,15.0
90.64159581,8.0,4.0,5.0,2.0,4.0,0.9658,7.0,2.0,8.0,1.0,Female,15.0
93.57446282,4.0,1.0,6.0,1.0,3.0,0.4032,3.0,0.0,9.0,0.0,Male,14.0
88.67030744,3.0,7.0,4.0,1.0,4.0,0.4032,2.0,5.0,7.0,0.0,Male,15.0
69.8037989,1.0,5.0,4.0,1.0,3.0,0.4032,0.0,3.0,7.0,0.0,Male,14.0
91.74867665,1.0,1.0,5.0,1.0,5.0,0.4032,0.0,0.0,8.0,0.0,Male,16.0
62.47075585,1.0,7.0,3.0,1.0,4.0,0.4032,0.0,5.0,6.0,0.0,Male,15.0
62.19393818,8.0,2.0,3.0,1.0,4.0,7.8431,7.0,0.5,6.0,0.0,Male,15.0
95.96968872,1.0,2.0,4.0,1.0,6.0,6.327,0.0,0.5,7.0,0.0,Male,17.0
52.00817272,1.0,2.0,3.0,1.0,5.0,6.327,0.0,0.5,6.0,0.0,Male,16.0
92.17328593,3.0,1.0,2.0,1.0,6.0,3.1173,2.0,0.0,5.0,0.0,Male,17.0
29.36620695,4.0,4.0,6.0,2.0,7.0,3.0495,3.0,2.0,9.0,1.0,Female,18.0
74.42424318,8.0,7.0,1.0,2.0,6.0,6.5799,7.0,5.0,4.0,1.0,Female,17.0
93.8171533,4.0,1.0,4.0,2.0,4.0,8.1301,3.0,0.0,7.0,1.0,Female,15.0
